datetime,low,high,open,close,volumefrom,volumeto
2018-09-09,6147.0,6450.0,6188.0,6235.01,5936.9,37341591.59
2018-09-10,6221.49,6375.13,6235.01,6299.99,6841.81,43020287.34
2018-09-11,6176.76,6405.0,6299.99,6282.53,7223.25,45346177.73
2018-09-12,6194.88,6340.94,6282.53,6326.0,7259.91,45544454.52
2018-09-13,6323.65,6530.0,6326.0,6485.99,9327.54,60165545.77
2018-09-14,6378.05,6580.0,6485.99,6478.04,7312.68,47509635.88
2018-09-15,6470.0,6565.0,6478.04,6518.68,3344.58,21811302.81
2018-09-16,6324.9,6521.75,6518.68,6498.0,3191.64,20649801.91
2018-09-17,6207.55,6529.75,6498.0,6250.7,8901.88,56553438.08
2018-09-18,6228.0,6384.04,6250.7,6335.7,6009.83,37901046.74
2018-09-19,6106.37,6511.0,6335.7,6386.94,9736.67,61712813.0
2018-09-20,6337.0,6530.0,6386.94,6493.11,6573.75,42236058.52
2018-09-21,6492.5,6777.1,6493.11,6750.0,10972.56,73208617.45
2018-09-22,6628.01,6823.0,6750.0,6707.33,5114.24,34363292.87
2018-09-23,6660.05,6777.0,6707.33,6696.99,3403.22,22806982.88
2018-09-24,6555.99,6716.16,6696.99,6582.09,5245.81,34758698.5
2018-09-25,6320.5,6582.1,6582.09,6436.89,8918.53,57200568.82
2018-09-26,6380.62,6537.26,6436.89,6455.66,5767.65,37350373.43
2018-09-27,6430.0,6734.78,6455.66,6680.01,7629.43,50049900.06
2018-09-28,6528.13,6786.73,6680.01,6620.01,8630.93,57429631.92
2018-09-29,6452.02,6620.01,6620.01,6582.0,4164.89,27236990.33
2018-09-30,6523.0,6640.37,6582.0,6605.0,3604.16,23739483.01
2018-10-01,6479.03,6639.33,6605.0,6572.83,6869.97,45113832.24
2018-10-02,6452.0,6591.37,6572.83,6498.46,5283.88,34517949.11
2018-10-03,6398.96,6507.95,6498.46,6466.03,6017.6,38792994.29
2018-10-04,6455.0,6603.01,6466.03,6547.45,6292.98,41231044.84
2018-10-05,6512.81,6641.0,6547.45,6593.94,4973.4,32597736.43
2018-10-06,6536.0,6594.39,6593.94,6552.43,2686.64,17617374.75
2018-10-07,6491.81,6585.01,6552.43,6570.0,2572.74,16824366.84
2018-10-08,6545.63,6681.19,6570.0,6608.07,5158.8,34066647.32
2018-10-09,6552.5,6612.86,6608.07,6589.48,4424.22,29122947.04
2018-10-10,6445.48,6591.32,6589.48,6524.56,5989.36,39043016.27
2018-10-11,6033.34,6524.56,6524.56,6154.69,18769.33,116335608.9
2018-10-12,6111.97,6235.2,6154.69,6188.01,5412.96,33554630.61
2018-10-13,6178.0,6212.0,6188.01,6196.0,3722.67,23074416.97
2018-10-14,6151.0,6288.36,6196.0,6183.49,3657.22,22764662.69
2018-10-15,6151.58,6810.0,6183.49,6440.42,19975.09,129024787.45
2018-10-16,6377.77,6493.11,6440.42,6457.11,9552.83,61559686.66
2018-10-17,6411.19,6459.99,6457.11,6443.7,5281.04,34000548.91
2018-10-18,6355.0,6489.83,6443.7,6394.96,6821.25,43810348.18
2018-10-19,6355.0,6409.61,6394.96,6382.98,3708.25,23677548.56
2018-10-20,6369.32,6420.0,6382.98,6414.0,3359.42,21491758.94
2018-10-21,6405.57,6452.87,6414.0,6415.88,2497.64,16065758.0
2018-10-22,6377.77,6427.63,6415.88,6407.65,3827.53,24503622.77
2018-10-23,6360.0,6411.5,6407.65,6395.14,3884.63,24836419.59
2018-10-24,6395.13,6470.99,6395.14,6415.97,5001.03,32142825.41
2018-10-25,6379.74,6422.0,6415.97,6395.58,3446.96,22061255.74
2018-10-26,6383.54,6450.0,6395.58,6404.87,3923.84,25128261.16
2018-10-27,6390.0,6421.76,6404.87,6409.12,2264.63,14506617.0
2018-10-28,6380.01,6415.0,6409.12,6403.62,2032.02,13008844.83
2018-10-29,6211.0,6414.99,6403.62,6266.0,6219.19,39182076.98
2018-10-30,6240.54,6289.0,6266.0,6267.63,4018.99,25168516.72
2018-10-31,6203.72,6353.24,6267.63,6304.18,5061.85,31788070.1
2018-11-01,6293.44,6360.0,6304.18,6343.99,4395.73,27752840.56
2018-11-02,6333.94,6378.77,6343.99,6349.8,4003.06,25439682.42
2018-11-03,6315.91,6351.7,6349.8,6331.96,2490.79,15776821.86
2018-11-04,6314.82,6464.15,6331.96,6423.28,3785.22,24180829.93
2018-11-05,6372.0,6439.99,6423.28,6404.0,3878.2,24833457.37
2018-11-06,6387.82,6449.65,6404.0,6448.5,5257.68,33746528.33
2018-11-07,6448.5,6540.0,6448.5,6503.12,5541.0,36042976.55
2018-11-08,6391.99,6511.88,6503.12,6406.25,4929.29,31768725.31
2018-11-09,6309.45,6415.0,6406.25,6334.89,4377.42,27842689.28
